sp|P55865|CAS1A_XENLA	146
sp|P55867|CAS1B_XENLA	151
sp|Q9MZV7|CASP1_CANLF	154
sp|O02002|CASP1_DROME	137
sp|Q9MZV6|CASP1_FELCA	170
sp|Q9TV13|CASP1_HORSE	162
sp|P29466|CASP1_HUMAN	162
sp|P29452|CASP1_MOUSE	153
sp|Q9N2I1|CASP1_PIG	162
sp|P43527|CASP1_RAT	146
sp|P89116|CASP1_SPOFR	136
sp|Q98943|CASP2_CHICK	152
sp|P42575|CASP2_HUMAN	145
sp|P29594|CASP2_MOUSE	145
sp|P55215|CASP2_RAT	145
sp|Q08DY9|CASP3_BOVIN	137
sp|Q8MKI5|CASP3_CANLF	137
sp|Q8MJU1|CASP3_FELCA	137
sp|P42574|CASP3_HUMAN	137
sp|Q2PFV2|CASP3_MACFA	137
sp|Q60431|CASP3_MESAU	137
sp|P70677|CASP3_MOUSE	137
sp|Q5IS54|CASP3_PANTR	137
sp|Q95ND5|CASP3_PIG	137
sp|Q8MJC3|CASP3_RABIT	136
sp|P55213|CASP3_RAT	137
sp|Q5IS99|CASP3_SAIBB	137
sp|P55866|CASP3_XENLA	137
sp|Q5E9C1|CASP4_BOVIN	161
sp|P49662|CASP4_HUMAN	162
sp|P70343|CASP4_MOUSE	141
sp|P51878|CASP5_HUMAN	162
sp|Q3T0P5|CASP6_BOVIN	149
sp|P55212|CASP6_HUMAN	157
sp|O08738|CASP6_MOUSE	158
sp|O35397|CASP6_RAT	158
sp|P55210|CASP7_HUMAN	138
sp|P55214|CASP7_MESAU	139
sp|P97864|CASP7_MOUSE	137
sp|Q8IRY7|CASP8_DROME	137
sp|Q29IM7|CASP8_DROPS	136
sp|Q14790|CASP8_HUMAN	158
sp|O89110|CASP8_MOUSE	156
sp|Q9JHX4|CASP8_RAT	156
sp|P55211|CASP9_HUMAN	149
sp|Q8C3Q9|CASP9_MOUSE	153
sp|Q9I9L7|CASPA_DANRE	150
sp|Q92851|CASPA_HUMAN	136
sp|Q504J1|CASPB_DANRE	137
sp|Q075B4|CASPC_CANLF	138
sp|Q6UXS9|CASPC_HUMAN	136
sp|Q153Z0|CASPC_MACMU	141
sp|O08736|CASPC_MOUSE	164
sp|Q920D5|CASPC_RAT	159
sp|O75601|CASPD_BOVIN	161
sp|P31944|CASPE_HUMAN	124
sp|O89094|CASPE_MOUSE	124
sp|P42573|CED3_CAEEL	132
sp|P45436|CED3_CAERE	132
sp|O15519|CFLAR_HUMAN	118
sp|O35732|CFLAR_MOUSE	119
sp|Q5RD56|CFLAR_PONAB	118
sp|G5EBM1|CSP1_CAEEL	130
sp|Q9TZP5|CSP2_CAEEL	139
sp|O01382|DRICE_DROME	136
sp|Q9XYF4|DRONC_DROME	139
sp|Q9UDY8|MALT1_HUMAN	132
sp|Q2TBA3|MALT1_MOUSE	132
sp|A1CQZ0|MCA1A_ASPCL	158
sp|B0XPP3|MCA1A_ASPFC	159
sp|Q4WJA1|MCA1A_ASPFU	159
sp|A2RB75|MCA1A_ASPNC	169
sp|Q2UN81|MCA1A_ASPOR	160
sp|Q0CTN3|MCA1A_ASPTN	160
sp|A1D3V4|MCA1A_NEOFI	158
